time,status,count,level,score,message
16h 52,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 53,failed,13,CRITICAL,7.902995502546521,"CRITICAL: Count (13) exceeds 99th percentile (3.00) and z-score (7.90) > 3, isolation forest: anomaly"
16h 54,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 55,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
16h 56,failed,15,CRITICAL,9.25197702149971,"CRITICAL: Count (15) exceeds 99th percentile (3.00) and z-score (9.25) > 3, isolation forest: anomaly"
16h 57,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
16h 58,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
16h 59,failed,12,CRITICAL,7.228504743069926,"CRITICAL: Count (12) exceeds 99th percentile (3.00) and z-score (7.23) > 3, isolation forest: anomaly"
17h 00,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
17h 01,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
17h 02,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
17h 03,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
17h 04,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
17h 05,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
17h 06,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
